process (yes if 1),Site Name,start_date,end_date,satellite,tile,resolution (m),flag
1,_v15,2022-07-01,2022-07-31,S2,31TFJ,20,0
0,_v15,2022-01-01,2022-07-20,S2,20JLL,20,1
0,_v15,2020-01-01,2020-12-31,S2,20JLL,20,1
0,_v15,2019-01-01,2019-12-31,S2,20JLL,20,1
0,_v15,2020-01-01,2020-06-31,S2,20MRB,20,1
0,_v15,2022-01-01,2022-12-01,S2,31TEJ,20,1
0,_v15,2017-01-01,2022-08-20,S2,31TGM,20,1
0,_v15,2022-01-01,2022-03-31,S2,31TEH,20,1
0,_v15,2022-01-01,2022-03-31,S2,31TDH,20,1
0,_v15,2022-04-01,2022-09-01,S2,31TFJ,20,1
0,nice,2018-04-01,2018-12-31,S2,32TLP,20,1
0,natron,2020-01-01,2020-12-31,S2,36MZC,20,1
0,aaot,2021-01-01,2021-01-31,S2,32TQR,20,1
0,pyramid,2020-06-01,2020-08-31,S2,11TKE,20,1
0,,2021-01-01,2021-09-15,S2,49SDU,20,1
0,_v15,2023-01-01,2023-01-04,S2,30TXR,20,1
0,_v15,2022-06-01,2022-09-01,S2,30TYN,20,1
0,_v15,2021-01-01,2022-12-31,S2,37PGN,20,1
0,_v15,2021-01-01,2022-12-31,S2,37PHN,20,1
