process,Site.Name,start_date,end_date,satellite,tile,resolution..m.,flag
0,_v13,2018-03-13,2018-10-27,S2,57WWS,20,1
0,_v13,2019-02-17,2019-10-27,S2,57WWS,20,1
0,_v13,2019-03-06,2019-10-27,S2,51WWQ,20,1
0,_v13,2018-02-09,2018-10-27,S2,08WNV,20,1
0,_v13,2019-02-12,2019-11-01,S2,08WNV,20,1
0,_v13,2019-02-19,2019-10-24,S2,45WVT,20,1
0,_v13,2018-02-24,2018-11-01,S2,41WPP,20,1
0,_v13,2019-02-09,2019-11-02,S2,41WPP,20,1
0,_v13,2017-05-02,2017-10-27,S2,57WWS,20,1
0,_v13,2020-05-11,2020-10-24,S2,57WWS,20,1
0,_v13,2017-05-06,2017-09-18,S2,08WNV,20,1
0,_v13,2020-02-12,2020-10-31,S2,08WNV,20,1
0,_v13,2017-04-14,2017-10-24,S2,51WWQ,20,1
0,_v13,2018-02-08,2018-11-02,S2,51WWQ,20,1
0,_v13,2020-05-14,2020-11-02,S2,51WWQ,20,1
0,_v13,2017-02-19,2017-11-02,S2,41WPP,20,1
1,_v13,2020-02-05,2020-11-05,S2,41WPP,20,1
1,_v13,2017-02-27,2017-11-01,S2,45WVT,20,1
1,_v13,2018-02-24,2018-11-01,S2,45WVT,20,1
1,_v13,2017-02-09,2017-02-25,S2,41WPQ,20,1
1,_v13,2017-01-26,2017-11-07,S2,03VXJ,20,1
1,_v13,2018-01-31,2018-11-17,S2,03VXJ,20,1
1,_v13,2019-01-23,2019-12-01,S2,03VXJ,20,1
1,_v13,2020-01-01,2020-11-16,S2,03VXJ,20,1
1,_v13,2019-10-28,2020-02-16,S2,57WWS,20,1
1,_v13,2019-10-28,2020-04-28,S2,51WWQ,20,1
1,_v13,2019-10-25,2020-10-23,S2,45WVT,20,1
